paint_code,all_codes,name,german_name,family,finish,years,pts_only,hex
X6T,X6T,Camouflage Green Metallic,Tarngrün Metallic,green,metallic,,yes,#5c696c
L99Y,L99Y,Colibri Green Metallic,Colibrigrün Metallic,green,metallic,1978-1979,no,#456136
222,222,Conda Green,Condagrün,green,solid,1970-1971,no,#12A663
Y21,Y21,Connaught Green,connaughtgreen,green,solid,,no,#0C4820
LM6Y,33N / 3P / A6W / LM6Y,Crystal Green Metallic,Kristallgrün Metallic,green,metallic,1985-1986,no,#91A499
M6X,M6X,Dark Olive Metallic,Dunkeloliv Metallic,green,metallic,2005-2010,no,#414F4F
M6W,M6W,Dark Teal Metallic,Lagogrün Metallic,green,metallic,,no,#153A36
Z6E,Z6E,Deep Green Metallic,Tiefgrün Metallic,green,metallic,,yes,#344943
6JE,6JE,Eberle Green,Eberle Grün,green,solid,2024-present,yes,#016838
264,264 / 26G,Emerald Green Met.,Vipergründiamant,green,solid,,no,#367d69
24C,24C,Essmann Green,Essmanngrün,green,solid,2023-present,yes,#4D7A4B
699,699,Felsengruen Metallic,Felsengrün Metallic,green,metallic,,yes,#A9B3AE
273,273,Fern Green,Farngrün,green,solid,,no,#42C098
22E,22E,Fir Green Metallic,Tannengrün Metallic,green,metallic,,no,#083B1F
6FN,5705 / 6005 / 6FN,Fjord Green,Fjordgrün,green,solid,,yes,#024642
2B4,2B4,Forest Green Metallic,Tannengrün Metallic,green,metallic,2005-2009,no,#083B1F
Z6P,Z6P,Gomera Metallic,Gomera Metallic,green,metallic,,yes,#094F4E
Z6X,Q82 / Z6X,Goodwood Green Metallic,Goodwoodgrün Metallic,green,metallic,,yes,#0B3C06
2D8,2D8,Green,Grün,green,solid,,yes,#04D767
224,224,Green Metallic,Grün-met.,green,metallic,,no,#37884D
220,220,Green Turquoise,Türkisgrün,green,solid,1970-1971,no,#1C5E4A
137,137,Green Yellow,Gelbgrün,green,solid,,yes,#90DF7A
266,266,Ice Green Metallic,Silbergründiamant,green,metallic,,no,#79918E
6606,213 / 6406 / 6606 / L22E / Y79,Irish Green,irishgreen,green,solid,1965-1973,yes,#0B430E
5405,5405,Jade Green Metallic,jadegrünmetallic,green,metallic,,no,#404233
Y6W,Y6W,Java Green Metallic,Javagrün Metallic,green,metallic,,yes,#aedf5a
Z6H,Z6H,Jet Green Metallic,Jetgrün Metallic,green,metallic,,yes,#005150
2A1,2A1 / 2A2,Jungle Green Metallic,Dschungelgrün Metallic,green,metallic,,no,#1B4D3E
,,Kelly Green,ViperGrün,green,solid,,no,#628351
35Y,35Y,Lagoon Green Metallic,Lagunengrün-met.,green,metallic,,no,#6B858E
LA6V,LA6V,Lhasa Metallic,Lhasa Metallic,green,metallic,1982-1982,no,#2A4A4A
253,227 / 253,Light Green,lightgreen,green,solid,,no,#B3DD14
275,275,Light Green Metallic,Lindgrün-met.,green,metallic,,no,#828E60
Q82,Q82,Light Oak Green Metallic,Helleichengrün Metallic,green,metallic,,yes,#757566
227,227,Lighter Green,Hellgrün,green,solid,1970-present,yes,#36b98b
226,137 / 226,Lime Green,Gelbgrün,green,solid,,no,#B0EA55
226,226,Linden Green,Lindengrün,green,solid,,yes,#D1D027
,,Lizard Green,Eidechsengrün,green,solid,2018-present,yes,#01B520
2B5,2B5,Malachite Green Metallic,Malachitgrün Metallic,green,metallic,,yes,#39483C
96Y,96Y,Malachite Metallic,Malachit Metallic,green,metallic,1977-1977,no,#02567C
M6S,M6S,Mamba Green Metallic,mambagruen metallic,green,metallic,,no,#52B844
62109,62109 / 6852,Metallic Dark Green,metallischesdunkelgrün,green,metallic,,no,#3D7153
221,221 / 8310 / 8383,Metallic Green,Grünmetallic,green,metallic,1971-1971,no,#37884D
22A,20A / 22A / 22R,Mint Green,Mintgrün,green,solid,,no,#6FBE90
,,Mint Green (Dark),Minzgrün (Dunkel),green,solid,,no,#5F9590
Q85,Q85,Morning Dew Green Metallic,Morgentaugrün Metallic,green,metallic,,yes,#B2D2D4
LM6V,20C / LM6V,Moss Green Metallic,Moosgrün Metallic,green,metallic,1983-1983,no,#0F4210
22C,22C,Murano Green,Muranogrün,green,solid,,no,#13747D
L6H,L6H,Nato Olive,natoolive,green,solid,,yes,#5A5B4B
LY6Y,LY6Y,Nile Green Metallic,Nilgrün Metallic,green,metallic,1987-1988,no,#1E391A
